*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Mid 4
*Date=22:17:52
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
111;;;36.6391;-2.15691;0;Bottom;Hole33
112;;;60.7822;-41.7378;0;Bottom;Copper Fill20
113;;SIP (Single Inline) [THT];117.978;-77.6355;0;Bottom;PWR
114;;;99.5934;-25.266;0;Bottom;Copper Fill10
115;;;50.468;-2.19219;0;Bottom;Hole57
116;;;119.126;-36.4801;0;Bottom;Copper Fill4
117;;;120.366;-80.1877;0;Bottom;TXT1
118;;;45.776;-2.19219;0;Bottom;Hole41
119;;;44.5614;-2.20686;0;Bottom;Hole29
120;;;89.3895;-9.51899;0;Bottom;Hole183
121;;;118.796;-80.2315;0;Bottom;Copper Fill12
122;;;119.426;-2.17667;0;Bottom;Hole22
123;;;94.5189;-11.8962;0;Bottom;Hole186
124;;;89.337;-11.9041;0;Bottom;Hole182
125;;;46.4463;-2.19219;0;Bottom;Hole54
126;;;2.18183;-105.414;0;Bottom;Hole19
127;;;101.356;-25.1159;0;Bottom;TXT1
128;;;39.2878;-2.20686;0;Bottom;Hole30
129;;THT;98.7665;-29.0405;0;Bottom;GPS
130;;;84.5073;-10.7167;0;Bottom;Hole191
131;;;110.425;-86.5243;90;Bottom;TXT2
132;;;102.163;-11.9041;0;Bottom;Hole180
133;;;19.0881;-34.6767;0;Bottom;Copper Fill27
134;;;47.517;-50.1317;0;Bottom;Hole202
135;;;45.141;-2.19219;0;Bottom;Hole53
136;;;35.863;-2.19219;0;Bottom;Hole46
137;;;97.7138;-43.9985;0;Bottom;Copper Fill19
138;;;18.2484;-89.6517;0;Bottom;IMG11
139;;;37.8738;-2.19219;0;Bottom;Hole38
140;;;120.335;-37.7383;0;Bottom;TXT1
141;;;97.0724;-9.51899;0;Bottom;Hole179
142;;;55.4766;-58.8202;0;Bottom;Hole203
143;;;120.326;-67.5841;0;Bottom;TXT1
